Text,Label
"Medical literature is the scientific literature of medicine: articles in journals and texts in books devoted to the field of medicine. Many references to the medical literature include the health care literature generally, including that of dentistry, veterinary medicine, pharmacy, nursing, and the allied health professions.
Contemporary and historic views regarding diagnosis, prognosis and treatment of medical conditions have been documented for thousands of years. The Edwin Smith papyrus is the first known medical treatise. Ancient medical literature often described inflictions related to warfare.
",1
"The Brandon–Hill list is a list of journals and books recommended for a small hospital library.
Compiled by Alfred Brandon and Dorothy Hill, the 2003 version included 434 books and subscriptions to 79 journals, but is no longer updated and has been replaced by Doody's Core Titles.It has been used to calculate the rate of rise of journal costs.

",1
"In medicine, a case report is a detailed report of the symptoms, signs, diagnosis, treatment, and follow-up of an individual patient. Case reports may contain a demographic profile of the patient, but usually describe an unusual or novel occurrence. Some case reports also contain a literature review of other reported cases. Case reports are professional narratives that provide feedback on clinical practice guidelines and offer a framework for early signals of effectiveness, adverse events, and cost. They can be shared for medical, scientific, or educational purposes.
",1
"A Counterblaste to Tobacco is a treatise written by King James VI of Scotland and I of England in 1604, in which he expresses his distaste for tobacco, particularly tobacco smoking. As such, it is one of the earliest anti-tobacco publications.
",1
"Crossing the Quality Chasm: A New Health System for the 21st Century is a report on health care quality in the United States published by the Institute of Medicine (IOM) on March 1, 2001.  A follow-up to the frequently cited 1999 IOM patient safety report To Err Is Human: Building a Safer Health System, Crossing the Quality Chasm advocates for a fundamental redesign of the U.S. health care system.",1
"

The Diseases Database is a free website that provides information about the relationships between medical conditions, symptoms, and medications. The database is run by Medical Object Oriented Software Enterprises Ltd, a company based in London.The site's stated aim is ""education, background reading and general interest"" with an intended audience ""physicians, other clinical healthcare workers and students of these professions"". The editor of the site is stated as Malcolm H Duncan, a UK qualified medical doctor.",1
"Embase (often styled EMBASE for Excerpta Medica dataBASE) is a biomedical and pharmacological bibliographic database of published literature designed to support information managers and pharmacovigilance in complying with the regulatory requirements of a licensed drug. Embase, produced by Elsevier, contains over 32 million records from over 8,500 currently published journals from 1947 to the present. Through its international coverage, daily updates, and drug indexing with EMTREE, Embase enables tracking and retrieval of drug information in the published literature. Each record is fully indexed and Articles in Press are available for some records and In Process are available for all records, ahead of full indexing. Embase's international coverage expands across biomedical journals from 95 countries and is available through a number of database vendors.
",1
"The European Medical Writers Association (EMWA) was established in 1992 in Brussels, Belgium, as a professional organisation for European medical writers, whether working freelance or in-house at pharmaceutical companies or medical communications companies. Between 1992 and 1998, EMWA was the European chapter of the American Medical Writers Association.
EMWA now has over 800 members from 27 countries, and includes academics and professionals working in-house or freelance for pharmaceutical and medical communications companies, research institutes and in the field of scientific journalism. EMWA has an extensive professional development programme, and runs workshops and other educational and social events at bi-annual conferences, one in Spring and the other in Autumn, both in European locations. EMWA also publishes a journal, The Write Stuff, four times a year. In 2012, the journal changed its name to Medical Writing and began being published by Maney Publishing. Since the beginning of 2016, the journal is now once again self-published and printed by Hastings; feature articles are now open access.The Association pays special attention to ethical issues, to avoid unjustified interpretation of results of medical research, e.g. ""The writer should also ensure that conclusions are fully supported by the data and that publications do not contain unjustified claims. Secondary publications and post-hoc analyses must be clearly identified as such. Medical writers should also draw atten tion to any limitations of the study in the discussion section. [...] If a CER writer is aware of good quality evidence that contradicts a point being made in a review, or in the discussion section of a primary publication, the writer should attempt to ensure that this research is cited.""

",1
"An expert report is a study written by one or more authorities that states findings and offers opinions.
In law, expert reports are generated by expert witnesses offering their opinions on points of controversy in a legal case and are typically sponsored by one side or the other in a litigation in order to support that party's claims. The reports state facts, discuss details, explain reasoning, and justify the experts' conclusions and opinions.In medicine, an expert report is a critical assessment of a medical topic, for example, an independent assessment of the cost–benefit ratio of a particular medical treatment.

",1
"A general medical journal is an academic journal dedicated to medicine in general, rather than a specific field of medicine.
",1
